LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Sungai Cibeureum,Sun,3/19/17,10:00,88,22,25
Sungai Cibeureum,Sun,3/19/17,12:00,97,22,30
Sungai Cibeureum,Sun,3/19/17,14:00,83,22,33
Sungai Cibeureum,Sun,3/19/17,16:00,100,22,27
Sungai Cibeureum,Sun,4/9/17,10:00,100,22,32
Sungai Cibeureum,Sun,4/9/17,12:00,80,23,33
Sungai Cibeureum,Sun,4/9/17,14:00,80,23,31
Sungai Cibeureum,Sun,4/9/17,16:00,83,23,30
Sungai Cibeureum,Sun,4/16/17,10:00,85,21,32
Sungai Cibeureum,Sun,4/16/17,12:00,97,22,32
Sungai Cibeureum,Sun,4/16/17,14:00,95,22,29
Sungai Cibeureum,Sun,4/16/17,16:00,95,22,29
Sungai Cibeureum,Sun,4/30/17,10:00,95,20,32
Sungai Cibeureum,Sun,4/30/17,12:00,99,18,35
Sungai Cibeureum,Sun,4/30/17,14:00,82,24,41
Sungai Cibeureum,Sun,4/30/17,16:00,93,22,36
Sungai Cibeureum,Mon,5/14/17,10:00,98,15,26
Sungai Cibeureum,Mon,5/14/17,12:00,100,22,34
Sungai Cibeureum,Mon,5/14/17,14:00,100,21,40
Sungai Cibeureum,Mon,5/14/17,16:00,97,22,34
Sungai Cibeureum,Tue,5/15/17,10:00,83,18,28
Sungai Cibeureum,Tue,5/15/17,12:00,94,22,35
Sungai Cibeureum,Tue,5/15/17,14:00,91,23,35
Sungai Cibeureum,Tue,5/15/17,16:00,85,20,30
Sungai Cibeureum,Wed,5/16/17,10:00,83,17,31
Sungai Cibeureum,Wed,5/16/17,12:00,81,18,36
Sungai Cibeureum,Wed,5/16/17,14:00,86,21,37
Sungai Cibeureum,Wed,5/16/17,16:00,87,20,34
Sungai Cibeureum,Thu,5/17/17,10:00,91,19,28
Sungai Cibeureum,Thu,5/17/17,12:00,94,23,34
Sungai Cibeureum,Thu,5/17/17,14:00,90,23,40
Sungai Cibeureum,Thu,5/17/17,16:00,87,23,36
Sungai Cibeureum,Fri,5/18/17,10:00,107,19,26
Sungai Cibeureum,Fri,5/18/17,12:00,102,19,35
Sungai Cibeureum,Fri,5/18/17,14:00,101,22,38
Sungai Cibeureum,Fri,5/18/17,16:00,122,22,32
Sungai Cibeureum,Sat,5/19/17,10:00,101,20,30
Sungai Cibeureum,Sat,5/19/17,12:00,108,22,31
Sungai Cibeureum,Sat,5/19/17,14:00,93,22,38
Sungai Cibeureum,Sat,5/19/17,16:00,93,19,34
Sungai Cibeureum,Sun,5/20/17,10:00,118,15,26
Sungai Cibeureum,Sun,5/20/17,12:00,106,22,31
Sungai Cibeureum,Sun,5/20/17,14:00,124,24,37
Sungai Cibeureum,Sun,5/20/17,16:00,102,21,31
Sungai Cibeureum,Mon,5/28/17,10:00,94,18,24
Sungai Cibeureum,Mon,5/28/17,12:00,86,19,34
Sungai Cibeureum,Mon,5/28/17,14:00,92,20,37
Sungai Cibeureum,Mon,5/28/17,16:00,85,21,35
Sungai Cibeureum,Tue,5/29/17,10:00,98,16,31
Sungai Cibeureum,Tue,5/29/17,12:00,96,22,32
Sungai Cibeureum,Tue,5/29/17,14:00,90,23,37
Sungai Cibeureum,Tue,5/29/17,16:00,82,21,32
Sungai Cibeureum,Wed,5/30/17,10:00,93,16,24
Sungai Cibeureum,Wed,5/30/17,12:00,84,23,31
Sungai Cibeureum,Wed,5/30/17,14:00,83,20,41
Sungai Cibeureum,Wed,5/30/17,16:00,100,20,31
Sungai Cibeureum,Thu,5/31/17,10:00,92,18,24
Sungai Cibeureum,Thu,5/31/17,12:00,93,20,30
Sungai Cibeureum,Thu,5/31/17,14:00,90,21,37
Sungai Cibeureum,Thu,5/31/17,16:00,82,19,31
Sungai Cibeureum,Fri,6/1/17,10:00,108,16,25
Sungai Cibeureum,Fri,6/1/17,12:00,116,20,35
Sungai Cibeureum,Fri,6/1/17,14:00,123,25,37
Sungai Cibeureum,Fri,6/1/17,16:00,113,22,34
Sungai Cibeureum,Sat,6/2/17,10:00,111,15,24
Sungai Cibeureum,Sat,6/2/17,12:00,118,18,34
Sungai Cibeureum,Sat,6/2/17,14:00,99,21,34
Sungai Cibeureum,Sat,6/2/17,16:00,98,20,30
Sungai Cibeureum,Sun,6/3/17,10:00,125,17,28
Sungai Cibeureum,Sun,6/3/17,12:00,110,23,32
Sungai Cibeureum,Sun,6/3/17,14:00,101,21,37
Sungai Cibeureum,Sun,6/3/17,16:00,116,23,30
Sungai Cibeureum,Mon,6/11/17,10:00,83,16,24
Sungai Cibeureum,Mon,6/11/17,12:00,81,23,30
Sungai Cibeureum,Mon,6/11/17,14:00,86,24,37
Sungai Cibeureum,Mon,6/11/17,16:00,93,20,34
Sungai Cibeureum,Tue,6/12/17,10:00,81,19,32
Sungai Cibeureum,Tue,6/12/17,12:00,88,23,32
Sungai Cibeureum,Tue,6/12/17,14:00,95,25,37
Sungai Cibeureum,Tue,6/12/17,16:00,97,22,31
Sungai Cibeureum,Wed,6/13/17,10:00,81,16,25
Sungai Cibeureum,Wed,6/13/17,12:00,95,22,36
Sungai Cibeureum,Wed,6/13/17,14:00,100,23,36
Sungai Cibeureum,Wed,6/13/17,16:00,95,22,30
Sungai Cibeureum,Thu,6/14/17,10:00,89,20,28
Sungai Cibeureum,Thu,6/14/17,12:00,80,21,32
Sungai Cibeureum,Thu,6/14/17,14:00,94,24,38
Sungai Cibeureum,Thu,6/14/17,16:00,88,19,35
Sungai Cibeureum,Fri,6/15/17,10:00,90,18,29
Sungai Cibeureum,Fri,6/15/17,12:00,94,21,35
Sungai Cibeureum,Fri,6/15/17,14:00,122,20,38
Sungai Cibeureum,Fri,6/15/17,16:00,90,18,35
Sungai Cibeureum,Sat,6/16/17,10:00,90,16,29
Sungai Cibeureum,Sat,6/16/17,12:00,103,19,34
Sungai Cibeureum,Sat,6/16/17,14:00,110,20,36
Sungai Cibeureum,Sat,6/16/17,16:00,123,20,31
Sungai Cibeureum,Sun,6/17/17,10:00,122,17,25
Sungai Cibeureum,Sun,6/17/17,12:00,93,21,34
Sungai Cibeureum,Sun,6/17/17,14:00,108,20,35
Sungai Cibeureum,Sun,6/17/17,16:00,122,21,35
Sungai Cibeureum,Mon,6/25/17,10:00,81,19,32
Sungai Cibeureum,Mon,6/25/17,12:00,85,18,31
Sungai Cibeureum,Mon,6/25/17,14:00,82,20,40
Sungai Cibeureum,Mon,6/25/17,16:00,84,18,31
Sungai Cibeureum,Tue,6/26/17,10:00,98,19,28
Sungai Cibeureum,Tue,6/26/17,12:00,100,21,36
Sungai Cibeureum,Tue,6/26/17,14:00,86,25,35
Sungai Cibeureum,Tue,6/26/17,16:00,91,23,35
Sungai Cibeureum,Wed,6/27/17,10:00,98,20,25
Sungai Cibeureum,Wed,6/27/17,12:00,82,21,35
Sungai Cibeureum,Wed,6/27/17,14:00,88,23,35
Sungai Cibeureum,Wed,6/27/17,16:00,84,21,34
Sungai Cibeureum,Thu,6/28/17,10:00,83,18,28
Sungai Cibeureum,Thu,6/28/17,12:00,97,23,34
Sungai Cibeureum,Thu,6/28/17,14:00,100,21,38
Sungai Cibeureum,Thu,6/28/17,16:00,89,21,30
Sungai Cibeureum,Fri,6/29/17,10:00,111,15,25
Sungai Cibeureum,Fri,6/29/17,12:00,91,19,31
Sungai Cibeureum,Fri,6/29/17,14:00,102,21,35
Sungai Cibeureum,Fri,6/29/17,16:00,96,18,31
Sungai Cibeureum,Sat,6/30/17,10:00,93,15,28
Sungai Cibeureum,Sat,6/30/17,12:00,96,20,32
